MasterID,ItemID,Yield,Replenishable,Remaining,WHLocation,Plant,StartingFT,Core,CRCITEMID,Complete,PO_Num,Date_Received,Date_Receiveing,LastInventoryCycle,LastInventoryRemaining,LastInventoryComplete,OLD_PO
"CFB 14.0# GRD 9 7/8                               ","2D2F21052Z             ",306," ",167,"          ","2 ",0,0,"00000000    ",0,"2-065374  ",2022-08-17 10:15:05.000,2023-01-02 16:10:02.000,2023-01-02 06:13:28.000,167,0,NULL
"CFB 14.0# GRD 9 7/8                               ","2D2F21072A             ",311," ",311,"          ","2 ",0,0,"00000000    ",0,"2-065374  ",2022-07-12 07:37:07.000,2023-01-02 16:10:02.000,2023-01-02 06:13:28.000,311,0,NULL
"CB 16# WHT 11 5/8                                 ","2D2F24082G             ",393," ",393,"          ","2 ",0,0,"00000000    ",0,"2-065207  ",2022-07-12 06:43:49.000,2023-01-02 16:06:50.000,2023-01-02 06:13:28.000,393,0,NULL
"CB 16# WHT 11 5/8                                 ","2D2F24082Z             ",395," ",0,"          ","2 ",0,0,"00000000    ",1,"2-065207  ",2022-07-12 06:43:51.000,2023-01-02 16:06:50.000,2023-01-02 06:13:28.000,395,0,NULL
"CB 16# WHT 11 5/8                                 ","2D2F25092C             ",399," ",0,"          ","2 ",0,0,"00000000    ",1,"2-065216  ",2022-07-12 06:22:33.000,2023-01-02 16:06:51.000,2023-01-02 06:13:28.000,399,0,NULL
"CB 16# WHT 11 5/8                                 ","2D2F25092D             ",397," ",397,"          ","2 ",0,0,"00000000    ",0,"2-065216  ",2022-07-12 06:25:53.000,2023-01-02 16:06:51.000,2023-01-02 06:13:28.000,397,0,NULL
"CB 16# WHT 11 5/8                                 ","2D2F25131G             ",396," ",396,"          ","2 ",0,0,"00000000    ",0,"2-065207  ",2022-07-12 06:44:21.000,2023-01-02 16:06:51.000,2023-01-02 06:13:28.000,396,0,NULL
"CB 16# WHT 11 5/8                                 ","2D2F25131H             ",396," ",396,"          ","2 ",0,0,"00000000    ",0,"2-065207  ",2022-07-12 06:43:43.000,2023-01-02 16:06:52.000,2023-01-02 06:13:28.000,396,0,NULL
"CB 16# WHT 11 5/8                                 ","2D2F25131K             ",394," ",394,"          ","2 ",0,0,"00000000    ",0,"2-065207  ",2022-07-12 06:45:04.000,2023-01-02 16:06:52.000,2023-01-02 06:13:28.000,394,0,NULL
"CB 16# WHT 11 5/8                                 ","2D2F25131Z             ",400," ",400,"          ","2 ",0,0,"00000000    ",0,"2-065207  ",2022-07-12 06:43:55.000,2023-01-02 16:06:55.000,2023-01-02 06:13:28.000,400,0,NULL
"CB 16# WHT 11 5/8                                 ","2D2F25132F             ",394," ",297,"          ","2 ",0,0,"00000000    ",0,"2-065192  ",2022-07-11 08:54:56.000,2023-01-02 16:06:55.000,2023-01-02 06:13:28.000,394,0,NULL
