Description,CRCItemID,ERMaterials,LeadTime,PartsPerUnit,CostPerFactor,DLCostPerFactor,EstimatePerFactor,UseBy,OrderBY,PressFactor,CollatorFactor,OfflineFactor,ProdType,ItemType,ReportType,Color,Size,SubWT,ReOrderPoint,Cycle,PVGLCode,PRGLCode,ReqReport,Vendor_ItemID,Vendor_qty,DateLastPriceChange,LastPriceChangePO,Valueation,New_Item_Type,Old_Item_Type,BidID,CostingLink,Inventoryable
" DEFENSA BASIC WHT 12 1/4                         ","            ",T,1,1,1.8425,0.00,1.8425,"LB        ","LB        ",0,0,0,"ROLL  ",DFENSA,"CRBNLS    ","WHT ","12 1/4    ","26        ",-1," ","40100-2-30          ","40100-1-30          ",F,"            ",652,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
" SECURE IJ 100# TEXT 17 1/2                       ","            ",F,1,1,0.85,0.00,0.85,"LB        ","LB        ",0,0,0,"ROLL  ","TEXT  ","ELEC      ","WHT ","17 1/2    ","100       ",-1," ","40200-1-30          ","40200-1-30          ",T,"            ",1200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"100# MANILA TAG 17-1/2                            ","            ",T,1,1,0.72,0.00,0.72,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","MAN ","17 1/2    ","100       ",-1," ","40200-3-30          ","                    ",T,"            ",662,2013-06-12 09:25:51.367,"2-052354  ",NULL,NULL,NULL,NULL,NULL,1
"100# MANILLA TAG                                  ","            ",T,1,1,0.655,0.00,0.655,"LB        ","LB        ",0,0,0,"ROLL  ","ETAG  ","ELEC      ","MAN ","18        ","100       ",-1," ","40200-3-30          ","                    ",T,"21308       ",350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"100# MANILLA TAG 18                               ","            ",T,1,1,0.655,0.00,0.655,"LB        ","LB        ",0,0,0,"ROLL  ","ETAG  ","ELEC      ","MAN ","18        ","100       ",-1," ","40200-3-30          ","                    ",T,"21308       ",685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"100# SAFETY TAG WHT 11                            ","            ",T,1,1,1.06,0.00,1.005,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","11        ","100       ",-1," ","40200-2-30          ","40200-1-30          ",T,"688         ",440,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"100# SPRINGHILL TAG WHITE 17.5” 50/3 - MTO ROLLS  ","            ",T,1,1,0.78,0.00,0.78,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","17 1/2    ","100       ",-1," ","40200-2-30          ","40200-1-30          ",F,"4501917     ",1116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"100# TAG WHT 10 TEST                              ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","10        ","100       ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",348,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"100# TAG WHT 17 1/2                               ","4F4L06162E  ",T,1,1,0.62,0.00,0.555,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","17 1/2    ","100       ",-1," ","40200-2-30          ","40200-1-30          ",F,"223096      ",607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"100# WHT DEL MAR PLUS WEB SATIN 17 1/2            ","11095808    ",T,0,1,0.575,0.00,0.575,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","ELEC      ","WHT ","17 1/2    ","100       ",0," ","40200-3-30          ","40200-1-30          ",T,"            ",947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"100# WHT TAG BOND                                 ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","16        ","100       ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",950,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"100# WHT TAG BOND 16                              ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","16        ","100       ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",950,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"110#  WHT INDEX GLAD SPRING FORGE SM ANT 19 3/4   ","            ",F,0,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","IDX   ","ELEC      ","WHT ","19 3/4    ","110       ",-1," ","40200-3-30          ","40200-1-30          ",T,"            ",637,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"110# CAN 22 1/2 x 35 233M EARTH CHOICE SMOOTH IDX ","            ",F,1,1,0.4134,0.00,0.4134,"EA        ","EA        ",0,0,0,"SHT   ","BOND  ","BOND      ","CAN ","22 1/2    ","110       ",-1," ","40200-2-30          ","40200-1-30          ",F,"10442593    ",500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"110# index 19" Flambeau                           ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","IDX   ","BOND      ","WHT ","19        ","110       ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"110# INDEX GLAD GLT OFF ANT 19 3/4                ","            ",F,0,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","ELEC  ","ELEC      ","WHT ","19 3/4    ","110       ",-1," ","40200-3-30          ","40100-1-30          ",T,"            ",603,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"110# WHT INDEX 9-7/8                              ","            ",F,1,1,0.55,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","IDX   ","BOND      ","WHT ","9 7/8     ","110       ",-1," ","                    ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"110# WHT INDEX GLAD GLT OFF ANT 19 3/4            ","            ",F,0,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","IDX   ","ELEC      ","WHT ","19 3/4    ","110       ",-1," ","40200-3-30          ","40100-1-30          ",T,"            ",603,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"12 X 18 PT WHITE DIGITAL TEXT                     ","            ",F,1,1,61.27,0.00,0.00,"SH        ","M         ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","12        ","100       ",-1," ","40600-2-30          ","40600-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"1234 MAINTENANCE ITEM                             ","            ",F,0,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","20        ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"14.5# CFB GRN 14 7/8                              ","            ",F,1,1,1.5494,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","CFB   ","CRBNLS    ","GRN ","14 7/8    ","14.5      ",-1," ","40100-2-30          ","                    ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"15# CB GRN 14 7/8                                 ","            ",F,1,1,1.5796,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","CB    ","CRBNLS    ","GRN ","14 7/8    ","15        ",-1," ","40100-2-30          ","                    ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"15# CB GRN 9-7/8                                  ","            ",F,1,1,1.5796,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","CB    ","CRBNLS    ","GRN ","9 7/8     ","15        ",-1," ","                    ","40100-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"15# CF GRN 14 7/8                                 ","            ",F,1,1,0.9248,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","CF    ","CRBNLS    ","GRN ","14 7/8    ","15        ",-1," ","                    ","40100-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"150# TAG WHT CVRSTK                               ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","0         ","          ",-1," ","                    ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"18 X 12 9PT 100# WHT U DIGAL GLOSS COVER          ","            ",F,1,1,0.00,0.00,0.00,"SH        ","SH        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","18        ","100       ",-1," ","40600-2-30          ","40600-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"18 X 12 9PT 100# WHT U DIGITAL GLOSS COVER        ","            ",F,1,1,1.2931,0.00,0.00,"SH        ","SH        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","18        ","100       ",-1," ","40600-2-30          ","40600-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"19 X 25 123M 8PT TANGO CIS                        ","            ",F,0,1,0.021,0.00,0.021,"SH        ","SH        ",0,0,0,"SHT   ","SPC1S ","CRBNLS    ","WHT ","19        ","47        ",-1," ","40200-2-30          ","40200-1-30          ",T,"10399005    ",3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"19 x 25 67.5# OPQ WHT SOPORSET                    ","            ",F,1,1,0.043,0.00,0.043,"EA        ","EA        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","19        ","67        ",-1," ","40600-2-30          ","40600-1-30          ",F,"10353483    ",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"21# CB WHT 14 7/8                                 ","            ",F,1,1,1.3046,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","CB    ","CRBNLS    ","WHT ","14 7/8    ","21        ",-1," ","                    ","40100-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"21# WHT CB 14 7/8                                 ","            ",T,1,1,1.309,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","CB    ","CRBNLS    ","WHT ","14 7/8    ","21        ",-1," ","                    ","40100-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"21# WHT CB 17-1/2                                 ","            ",T,1,1,1.309,0.00,0.00,"RLL       ","RLL       ",0,0,0,"ROLL  ","CB    ","CB        ","WHT ","17 1/2    ","21        ",-1," ","                    ","40100-1-30          ",F,"4783-0013   ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"21# WHT CF E-CBNLS                                ","            ",F,0,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","CF    ","          ","WHT ","9 7/8     ","21        ",-1," ","                    ","40100-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"21# WHT CF E-CBNLS 17-1/2                         ","            ",F,1,1,1.6104,0.00,1.6104,"LB        ","LB        ",0,0,0,"ROLL  ","CF    ","CRBNLS    ","WHT ","17 1/2    ","21        ",-1," ","                    ","40100-1-30          ",T,"            ",0,2012-12-29 14:39:37.767,"2-052126  ",NULL,NULL,NULL,NULL,NULL,1
"21# WHT CF E-CBNLS 9-1/2                          ","            ",F,0,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","CF    ","          ","WHT ","9 1/2     ","21        ",-1," ","                    ","40100-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"21# WHT CF E-CBNLS 9-7/8                          ","            ",F,0,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","CF    ","          ","WHT ","9 7/8     ","21        ",-1," ","                    ","40100-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"21# WHT CF XCELLERATOR PLUS 9 1/4                 ","            ",T,0,1,1.4662,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","CF    ","CRBNLS    ","WHT ","9 1/4     ","21        ",-1," ","40100-2-30          ","40100-1-30          ",T,"227900      ",261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"23# Pink CFB E-CARB 17 1/2                        ","            ",T,1,1,2.5787,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","CFB   ","CRBNLS    ","PNK ","17 1/2    ","23        ",-1," ","                    ","40200-1-30          ",T,"20357       ",474,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"23x35 102M 60# GRD OPQ 81146                      ","            ",T,0,1,0.123,0.00,0.123,"SH        ","SH        ",0,0,0,"SHT   ","BOND  ","BOND      ","GRD ","UNIT      ","60        ",-1," ","40200-2-30          ","40200-1-30          ",T,"10442513    ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"23X35 168M 67# BLUE SPRINGHILL VELLUM BRISTOL     ","            ",F,0,1,0.1513,0.00,1513.00,"SH        ","SH        ",0,0,0,"SHT   ","BOND  ","BOND      ","BLU ","UNIT      ","67        ",-1," ","40100-2-30          ","40100-1-30          ",T,"10442586    ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"23x35 60# GRN OPQ 81143                           ","            ",F,0,1,0.123,0.00,0.123,"SH        ","SH        ",0,0,0,"SHT   ","BOND  ","BOND      ","GRN ","UNIT      ","60        ",-1," ","40100-2-30          ","40100-1-30          ",T,"10442586    ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"24#  9 1/2 DEFENSA PREMIUM NO TONERGRIP           ","            ",T,1,0.0184,116.50,0.00,0.8866,"LB        ","LB        ",0,0,0,"ROLL  ","BND   ","BOND      ","WHT ","17 1/2    ","24        ",0," ","40200-2-30          ","40200-1-30          ",T,"11442       ",339,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# BLU BOND 17-1/2                               ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BND   ","BOND      ","BLU ","17 1/2    ","24        ",-1," ","                    ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# BLU DEFENSA DESIGN SG 10""                     ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","BLU ","10        ","24        ",-1," ","                    ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# BLU Defensa Design SG 17-1/2                  ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","BLU ","17 1/2    ","24        ",-1," ","                    ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"24# BLU DEFENSA DESIGN SG 9-1/2                   ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","BLU ","9 1/2     ","24        ",-1," ","                    ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# Capitol Bond wht 10""                          ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","10        ","24        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# Capitol Bond wht 17-1/2                       ","            ",F,1,1,0.55,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","24        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# CK PROT GRN 17 1/2""                           ","            ",F,0,1,0.55,0.00,0.55,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","GRN ","17 1/2    ","24        ",-1," ","                    ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# CK SEC MOCR PLUS 15 1/2                       ","            ",T,0,1,0.815,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","15 1/2    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"24# CK SEC MOCR PLUS 16                           ","            ",T,1,1,0.70,0.00,0.735,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","16        ","24        ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",940,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# CK SEC MOCR PLUS 17-1/2                       ","            ",T,1,1,0.815,0.00,0.815,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"1375        ",619,2013-07-08 16:02:20.880,"2-052370  ",NULL,NULL,NULL,NULL,NULL,1
"24# CK SEC MOCR PLUS 9-1/2                        ","            ",T,1,1,0.815,0.00,0.815,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 1/2     ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"58412       ",341,2013-07-25 13:55:43.000,"2-052392  ",NULL,NULL,NULL,NULL,NULL,1
"24# CK SEC PLATINUM 17-1/2                        ","            ",T,0,1,1.155,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","          ","WHT ","17 1/2    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"5138        ",680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"24# CK SEC PLATINUM 18                            ","            ",T,0,1,1.717,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","18        ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"5138        ",680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"24# CK SEC PLATINUM 9-1/2                         ","            ",T,0,1,1.155,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","          ","WHT ","9 1/2     ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"1800        ",368,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"24# CLASSIC CREST NAT WHT 8-1/2                   ","            ",F,1,1,0.55,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BCAP  ","BOND      ","NAT ","8 1/2     ","24        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# Defensa Basic 17 1/2                          ","            ",T,1,1,1.1479,0.00,1.1479,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",652,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# DEFENSA BASIC 19 3/4                          ","            ",T,1,1,0.92,0.00,0.92,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","19 3/4    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",659,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# Defensa Basic 91/2                            ","            ",T,1,1,1.1898,0.00,1.188,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 1/2     ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",349,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# Defensa Basic WHT 9 1/2                       ","            ",T,1,1,1.1898,0.00,1.188,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 1/2     ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",349,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# Defensa Basic with Printloc 17 ½              ","            ",T,1,1,1.19,0.00,1.19,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",652,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# DEFENSA BASIC WITH PRINTLOC 18                ","            ",T,1,1,1.19,0.00,1.19,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","18        ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",652,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# DEFENSA BUFF 17-1/2                           ","            ",F,1,1,2.335,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","CAN ","17 1/2    ","24        ",-1," ","402002-30           ","40200-1-30          ",F,"11385       ",609,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# DEFENSA DESIGN 9 1/2                          ","            ",T,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","GRN ","9 1/2     ","24        ",-1," ","                    ","                    ",T,"            ",1,NULL,"          ","          ","      ","          ","          ","                    ",1
"24# Defensa Design Truwtr 17 1/2                  ","            ",F,1,1,0.55,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","24        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# Defensa Design Truwtrmrk 9-1/2                ","            ",F,1,1,0.00,0.00,0.55,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 1/2     ","24        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# DEFENSA GRN 10                                ","            ",T,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","10        ","24        ",-1," ","                    ","                    ",T,"            ",1,NULL,"          ","          ","      ","          ","          ","                    ",1
"24# DEFENSA PREMIUM 18                            ","            ",T,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","18        ","24        ",-1," ","                    ","                    ",T,"            ",1,NULL,"          ","          ","      ","          ","          ","                    ",1
"24# DEFENSA PREMIUM 9 1/2                         ","            ",T,0,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 1/2     ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# DEFENSA PREMIUM W/ PRINLOC 17 1/2             ","            ",T,1,1,1.3134,0.00,1.3134,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",F,"11427       ",366,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"24# DEFENSA PREMIUM WITH PRINTLOC 18              ","            ",T,0,1,1.19,0.00,1.19,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","18        ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",652,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# DEFENSA SEC GATE PLOC 17-1/2                  ","            ",T,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","24        ",-1," ","                    ","                    ",T,"            ",1,NULL,"          ","          ","      ","          ","          ","                    ",1
"24# DEFENSA SEC GATE PLOC 9-1/2                   ","            ",T,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 1/2     ","24        ",-1," ","                    ","                    ",T,"            ",1,NULL,"          ","          ","      ","          ","          ","                    ",1
"24# Defensa Yellow 17-1/2                         ","            ",F,1,1,0.55,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","CAN ","17 1/2    ","24        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# DOCUCK BASIC                                  ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 7/8     ","24        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,"BOND  ","BOND      ",NULL,NULL,1
"24# DOCUCK BASIC 14 1/2                           ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","14 1/2    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",548,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"24# DOCUCK BASIC 15 1/2                           ","            ",F,1,1,0.8199,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","15 1/2    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",548,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"24# DOCUCK BASIC 17 1/2                           ","            ",T,1,1,0.8599,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",F,"4552        ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# DOCUCK BASIC 19 3/4                           ","            ",T,1,1,0.8599,0.00,0.63,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","19 3/4    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",F,"4979-0043   ",700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"24# DOCUCK BASIC 9 1/2                            ","            ",T,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 1/2     ","24        ",-1," ","                    ","                    ",T,"            ",1,NULL,"          ","          ","      ","          ","          ","                    ",1
"24# DOCUCK BASIC 9 7/8                            ","            ",T,1,1,0.8599,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 7/8     ","24        ",-1," ","40200-2-30          ","40200-1-30          ",F,"4555 203573 ",349,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# DOCUCK BASIC 9-7/8                            ","            ",T,1,1,0.8599,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 7/8     ","24        ",-1," ","40200-2-30          ","40200-1-30          ",F,"4555        ",349,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# DOCUCK BASIC MOCR                             ","            ",T,1,1,0.8599,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 7/8     ","24        ",-1," ","                    ","40200-1-30          ",F,"4555 203573 ",349,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"24# DOCUCK BASIC MOCR 14 1/2                      ","            ",T,1,1,0.8599,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","14 1/2    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",548,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"24# DOCUCK GHOST 9 1/2                            ","            ",T,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","9 1/2     ","24        ",-1," ","                    ","                    ",T,"            ",1,NULL,"          ","          ","      ","          ","          ","                    ",1
"24# EAGLE WATERMARK 17 1/2                        ","            ",T,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","24        ",-1," ","                    ","                    ",T,"            ",1,NULL,"          ","          ","      ","          ","          ","                    ",1
